Starting... 
2024-07-23 20:12:33.699380: Namespace(data_dir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', logfile='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/log_2024_7_23_20_12_33.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/output_nii', organs_file='organs14BTCV.key', out_channels=14) 
2024-07-23 20:12:33.887018: Inference on case ABD_005.nii.gz 
2024-07-23 20:13:01.771100:  Organ 2 HD: 1.4142135623730951 
2024-07-23 20:13:01.771153:  Organ 2 IOU: 0.8996135457712109 
2024-07-23 20:13:01.771198:  Organ 2 precision: 0.9531940375882962 
2024-07-23 20:13:01.771241:  Organ 2 recall: 0.9411905713238209 
2024-07-23 20:13:03.208535:  Organ 3 Dice: 0.9547761678695679 
2024-07-23 20:13:03.208728:  Organ 3 HD: 1.4142135623730951 
2024-07-23 20:13:03.208781:  Organ 3 IOU: 0.9134657642739056 
2024-07-23 20:13:03.208826:  Organ 3 precision: 0.9542720719963467 
2024-07-23 20:13:03.208870:  Organ 3 recall: 0.9552808162583447 
2024-07-23 20:13:04.606214:  Organ 4 Dice: 0.8402965664863586 
2024-07-23 20:13:04.606406:  Organ 4 HD: 1.4142135623730951 
2024-07-23 20:13:04.606457:  Organ 4 IOU: 0.724578821112246 
2024-07-23 20:13:04.606502:  Organ 4 precision: 0.8288024779270432 
2024-07-23 20:13:04.606546:  Organ 4 recall: 0.8521139220730339 
2024-07-23 20:13:06.024269:  Organ 5 Dice: 0.6244113445281982 
2024-07-23 20:13:06.024467:  Organ 5 HD: 15.033296378372908 
2024-07-23 20:13:06.024520:  Organ 5 IOU: 0.453923030504156 
2024-07-23 20:13:06.024566:  Organ 5 precision: 0.8683849161631088 
2024-07-23 20:13:06.024610:  Organ 5 recall: 0.4874592354061908 
2024-07-23 20:13:07.846106:  Organ 6 Dice: 0.966715395450592 
2024-07-23 20:13:07.846303:  Organ 6 HD: 1.4142135623730951 
2024-07-23 20:13:07.846357:  Organ 6 IOU: 0.9355751631740931 
2024-07-23 20:13:07.846403:  Organ 6 precision: 0.9548522507797216 
2024-07-23 20:13:07.846447:  Organ 6 recall: 0.9788770435091193 
2024-07-23 20:13:09.426643:  Organ 7 Dice: 0.9058037400245667 
2024-07-23 20:13:09.426831:  Organ 7 HD: 2.8284271247461903 
2024-07-23 20:13:09.426883:  Organ 7 IOU: 0.8278256973340741 
2024-07-23 20:13:09.426929:  Organ 7 precision: 0.9403795052254666 
2024-07-23 20:13:09.426972:  Organ 7 recall: 0.8736804039199355 
2024-07-23 20:13:11.044387:  Organ 8 Dice: 0.8956179022789001 
2024-07-23 20:13:11.044580:  Organ 8 HD: 6.082762530298219 
2024-07-23 20:13:11.044888:  Organ 8 IOU: 0.8109673885764128 
