Starting... 
2024-07-23 20:23:00.066562: Namespace(data_dir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018', logfile='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018/log_2024_7_23_20_23_00.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018/output_nii', organs_file='organs14BTCV.key', out_channels=14) 
2024-07-23 20:23:00.252545: Inference on case ABD_005.nii.gz 
2024-07-23 20:23:28.153496:  Organ 2 HD: 1.4142135623730951 
2024-07-23 20:23:28.153551:  Organ 2 IOU: 0.9023706698670142 
2024-07-23 20:23:28.153598:  Organ 2 precision: 0.9558284398086123 
2024-07-23 20:23:28.153642:  Organ 2 recall: 0.9416380343680962 
2024-07-23 20:23:29.596375:  Organ 3 Dice: 0.9543421864509583 
2024-07-23 20:23:29.596569:  Organ 3 HD: 1.4142135623730951 
2024-07-23 20:23:29.596631:  Organ 3 IOU: 0.9126715589470388 
2024-07-23 20:23:29.596702:  Organ 3 precision: 0.9541083514601861 
2024-07-23 20:23:29.596745:  Organ 3 recall: 0.9545760946234985 
2024-07-23 20:23:31.001376:  Organ 4 Dice: 0.8392297625541687 
2024-07-23 20:23:31.001594:  Organ 4 HD: 1.4142135623730951 
2024-07-23 20:23:31.001646:  Organ 4 IOU: 0.7229938275879725 
2024-07-23 20:23:31.001691:  Organ 4 precision: 0.8499637158019526 
2024-07-23 20:23:31.001734:  Organ 4 recall: 0.8287634887161446 
2024-07-23 20:23:32.436397:  Organ 5 Dice: 0.6328607797622681 
2024-07-23 20:23:32.436593:  Organ 5 HD: 13.341664064126334 
2024-07-23 20:23:32.436896:  Organ 5 IOU: 0.46290883047658216 
2024-07-23 20:23:32.436944:  Organ 5 precision: 0.8689305312465778 
2024-07-23 20:23:32.436989:  Organ 5 recall: 0.4976578716290199 
2024-07-23 20:23:34.265250:  Organ 6 Dice: 0.9666399955749512 
2024-07-23 20:23:34.265451:  Organ 6 HD: 1.7320508075688772 
