Starting... 
2023-12-04 12:51:58.778794: Namespace(data_dir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/', logfile='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018//log_2023_12_4_12_51_58.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/output_nii', organs_file='organs14.key', out_channels=14) 
2023-12-04 12:51:59.245007: Inference on case ABD_005.nii.gz 
2023-12-04 12:52:23.645743:  Organ 2 HD: 1.4142135623730951 
2023-12-04 12:52:23.645794:  Organ 2 IOU: 0.9013657520974147 
2023-12-04 12:52:23.645837:  Organ 2 precision: 0.9555732303219483 
2023-12-04 12:52:23.645878:  Organ 2 recall: 0.9407910507485752 
2023-12-04 12:52:25.075452:  Organ 3 Dice: 0.9504135847091675 
2023-12-04 12:52:25.075642:  Organ 3 HD: 1.4142135623730951 
2023-12-04 12:52:25.075692:  Organ 3 IOU: 0.905512496748017 
2023-12-04 12:52:25.075735:  Organ 3 precision: 0.9451008907554534 
2023-12-04 12:52:25.075776:  Organ 3 recall: 0.9557863774311691 
2023-12-04 12:52:26.464637:  Organ 4 Dice: 0.7372048497200012 
2023-12-04 12:52:26.464825:  Organ 4 HD: 3.0 
2023-12-04 12:52:26.464874:  Organ 4 IOU: 0.583788122658446 
2023-12-04 12:52:26.464917:  Organ 4 precision: 0.8630754630681646 
2023-12-04 12:52:26.464958:  Organ 4 recall: 0.6433751996402349 
2023-12-04 12:52:27.890180:  Organ 5 Dice: 0.6056144833564758 
2023-12-04 12:52:27.890362:  Organ 5 HD: 14.45683229480096 
2023-12-04 12:52:27.890411:  Organ 5 IOU: 0.43432358093203594 
2023-12-04 12:52:27.890453:  Organ 5 precision: 0.8914246197655318 
2023-12-04 12:52:27.890493:  Organ 5 recall: 0.45858286424038963 
2023-12-04 12:52:29.712363:  Organ 6 Dice: 0.9679406881332397 
2023-12-04 12:52:29.712545:  Organ 6 HD: 1.4142135623730951 
2023-12-04 12:52:29.712612:  Organ 6 IOU: 0.9378730976556643 
2023-12-04 12:52:29.712655:  Organ 6 precision: 0.9536744323061497 
2023-12-04 12:52:29.712697:  Organ 6 recall: 0.9826402250324262 
2023-12-04 12:52:31.312761:  Organ 7 Dice: 0.8759439587593079 
2023-12-04 12:52:31.312941:  Organ 7 HD: 10.488088481701515 
2023-12-04 12:52:31.312992:  Organ 7 IOU: 0.7792707603335889 
2023-12-04 12:52:31.313035:  Organ 7 precision: 0.9406759367214773 
2023-12-04 12:52:31.313077:  Organ 7 recall: 0.8195474081102447 
2023-12-04 12:52:32.908642:  Organ 8 Dice: 0.8828546404838562 
2023-12-04 12:52:32.908836:  Organ 8 HD: 6.708203932499369 
2023-12-04 12:52:32.909152:  Organ 8 IOU: 0.7902773088183482 
2023-12-04 12:52:32.909201:  Organ 8 precision: 0.9805957446833917 
2023-12-04 12:52:32.909243:  Organ 8 recall: 0.8028321506117926 
2023-12-04 12:52:34.329973:  Organ 9 Dice: 0.8584451079368591 
2023-12-04 12:52:34.330161:  Organ 9 HD: 5.0 
2023-12-04 12:52:34.330210:  Organ 9 IOU: 0.7519963754454334 
2023-12-04 12:52:34.330254:  Organ 9 precision: 0.9393371299425782 
2023-12-04 12:52:34.330296:  Organ 9 recall: 0.7903806661536412 
2023-12-04 12:52:35.816297:  Organ 10 Dice: 0.7863901853561401 
2023-12-04 12:52:35.816489:  Organ 10 HD: 9.0 
2023-12-04 12:52:35.816540:  Organ 10 IOU: 0.6479760901514027 
2023-12-04 12:52:35.816583:  Organ 10 precision: 0.8367312695387773 
2023-12-04 12:52:35.816632:  Organ 10 recall: 0.7417627372690496 
2023-12-04 12:52:37.244500:  Organ 11 Dice: 0.7132264375686646 
2023-12-04 12:52:37.244682:  Organ 11 HD: 10.677078252031311 
2023-12-04 12:52:37.244732:  Organ 11 IOU: 0.5542749835944197 
2023-12-04 12:52:37.244776:  Organ 11 precision: 0.7856471817402676 
2023-12-04 12:52:37.244818:  Organ 11 recall: 0.6530302374504229 
2023-12-04 12:52:38.628677:  Organ 12 Dice: 0.649142861366272 
2023-12-04 12:52:38.628861:  Organ 12 HD: 2.0 
2023-12-04 12:52:38.629177:  Organ 12 IOU: 0.48054145691864136 
2023-12-04 12:52:38.629225:  Organ 12 precision: 0.8289550506190598 
2023-12-04 12:52:38.629267:  Organ 12 recall: 0.5334335103928117 
2023-12-04 12:52:40.003403:  Organ 13 Dice: 0.6298926472663879 
2023-12-04 12:52:40.003587:  Organ 13 HD: 8.12403840463596 
2023-12-04 12:52:40.003638:  Organ 13 IOU: 0.45973963486080127 
2023-12-04 12:52:40.003681:  Organ 13 precision: 0.8280503698304369 
2023-12-04 12:52:40.003723:  Organ 13 recall: 0.5082622614385334 
2023-12-04 12:52:40.004013: Mean Organ Dice: 0.8130149245262146 
2023-12-04 12:52:40.004103: Mean Organ mean_HD: 5.745914004060646 
2023-12-04 12:52:40.004156: Mean Organ mean_IOU: 0.7044185788443313 
2023-12-04 12:52:40.004205: Mean Organ mean_precision: 0.899878853411489 
2023-12-04 12:52:40.004252: Mean Organ mean_recall: 0.7545604086119646 
